X,Y,OBJECTID,PLG_GPSDATE,PoleNum,FixtureType,Address,Predir,Street,StreetType,Height,Wattage,InstallDate,PoleType,Owner,PowerFeed,LampType
-116.175869655195683,43.544840771226816,1291429,2013-08-21T00:00:00.000Z,124C01,Cobrahead,450,E,GOWEN,RD,30,105,2013-08-20T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.176986804603985,43.545034802587402,1291430,2013-08-21T00:00:00.000Z,124C02,Cobrahead,448,E,GOWEN,RD,30,105,2013-08-20T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.205386268610937,43.615613411748058,1291431,,122C01,Cobrahead,165,N,9TH,ST,35,182,2013-05-01T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.205182222180582,43.61553455048621,1291432,,122C02,Cobrahead,166,N,9TH,ST,35,182,2013-05-01T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.334174388696638,43.591134693454848,1291433,,125C04,Cobrahead,1508,S,CLOVERDALE,RD,30,105,2005-08-25T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.196848488550529,43.616923112252849,1291434,,126C03,Cobrahead,456,W,STATE,ST,35,80,2013-09-06T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.173377862671714,43.581003827358217,1291435,2013-09-19T00:00:00.000Z,128C01,Cobrahead,2450,S,APPLE,ST,35,182,2013-09-18T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.173381955406072,43.58107754373497,1291436,2013-09-19T00:00:00.000Z,128C02,Cobrahead,2450,S,APPLE,ST,35,182,2013-09-18T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.104899082874169,43.562626048293303,1291437,2013-09-20T00:00:00.000Z,00190C,Bell,6362,E,PLAYWRIGHT,ST,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.104127012544012,43.56315371853367,1291438,2013-09-20T00:00:00.000Z,00189C,Bell,6379,E,GRAND PRAIRIE,DR,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.105356401177602,43.563794874945422,1291439,2013-09-20T00:00:00.000Z,00188C,Bell,6319,E,GRAND PRAIRIE,DR,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.106539301683711,43.564440189872037,1291440,2013-09-20T00:00:00.000Z,00187C,Bell,6203,E,GRAND PRAIRIE,DR,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.107329440437994,43.563759548019796,1291441,2013-09-20T00:00:00.000Z,00186C,Bell,4209,S,RIVER BASIN,AVE,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.106298239762552,43.563088824384415,1291442,2013-09-20T00:00:00.000Z,00185C,Bell,4303,S,MAYNARD,AVE,25,52,2013-09-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.105253673643404,43.562025538470046,1291443,2013-09-20T00:00:00.000Z,127C03,Cobrahead,6392,E,WARM SPRINGS,AVE,30,80,2013-09-11T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.106295616463541,43.562531681111786,1291444,2013-09-20T00:00:00.000Z,127C02,Cobrahead,6268,E,WARM SPRINGS,AVE,30,80,2013-09-11T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.107280283684503,43.562879223344552,1291445,2013-09-20T00:00:00.000Z,127C01,Cobrahead,6132,E,WARM SPRINGS,AVE,30,80,2013-09-11T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253814371044186,43.595635256323135,1291446,,57645A,Cobrahead,915,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.253792987872799,43.596262701954529,1291447,,57644A,Cobrahead,859,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.25382352685952,43.597188393355616,1291448,,57643A,Cobrahead,793,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Metal,Idaho Power,Overhead,High Pressure Sodium
-116.253751823357277,43.594063008049567,1291449,,57646A,Cobrahead,1115,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.253775302729935,43.593231041542474,1291450,,57647A,Cobrahead,1215,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.25373909409339,43.598918816629961,1291451,,57642A,Cobrahead,651,S,CURTIS,RD,25,100,2013-07-26T00:00:00.000Z,Metal,Idaho Power,Overhead,High Pressure Sodium
-116.204246142499329,43.612910095104866,1291452,2013-10-21T00:00:00.000Z,129C07,Historical,380,S,CAPITOL,BLVD,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.204089778180091,43.613055470441402,1291453,2013-10-21T00:00:00.000Z,129C08,Historical,370,S,CAPITOL,BLVD,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203952560803671,43.613202870707688,1291454,2013-10-21T00:00:00.000Z,129C09,Historical,320,S,CAPITOL,BLVD,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203842409975863,43.613314108033933,1291455,2013-10-21T00:00:00.000Z,129C10,Historical,304,S,CAPITOL,BLVD,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203671274208503,43.613315061605888,1291456,2013-10-21T00:00:00.000Z,129C11,Cobrahead,631,W,FRONT,ST,35,105,1993-04-01T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203479323734427,43.613213983371715,1291457,2013-10-21T00:00:00.000Z,129C12,Historical,621,W,FRONT,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203305652912718,43.613113883605337,1291458,2013-10-21T00:00:00.000Z,129C13,Historical,615,W,FRONT,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203128113666864,43.613008472590451,1291459,2013-10-21T00:00:00.000Z,129C14,Historical,609,W,FRONT,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.202951408462241,43.612902812490141,1291460,2013-10-21T00:00:00.000Z,129C15,Historical,601,W,FRONT,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.20285922269845,43.612761931235639,1291461,2013-10-21T00:00:00.000Z,129C16,Historical,301,S,6TH,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.202985741899766,43.61262903053148,1291462,2013-10-21T00:00:00.000Z,129C17,Historical,343,S,6TH,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203258137928344,43.612333773200305,1291463,2013-10-21T00:00:00.000Z,129C01,Historical,371,S,6TH,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203324950326007,43.612266335112842,1291464,2013-10-21T00:00:00.000Z,129C02,Cobrahead,391,S,6TH,ST,35,53,1988-08-01T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.203548249838065,43.612306815985441,1291465,2013-10-21T00:00:00.000Z,129C03,Historical,604,W,BROAD,ST,13,70,2013-10-30T00:00:00.000Z,Metal,Boise City,Underground,LED
